symbol,season,status,detail,fiscal_label,period_end,fiscal_calendar,source,words,facts,high,medium,low,unverified,verified_pct,unclaimed_figures,claimed_share,conflicts,checks_failed,checks_warn,period_check,signals,selected,trajectory_rows,snapshot_checks_failed,snapshot_checks_warn,registry,unmapped_segments,gold_facts,gold_snapshot,db_eligible,attention
CPRT,2026Q1,ok,,2026Q3,2026-04,verified,cache,5043,45,24,10,11,0,100.0,15,0.75,11,0,1,pass,77,46,0,0,2,curated,7,pass,fail,False,gold_fail
HD,2026Q1,error,Alpha Vantage: We have detected your API key as ***REDACTED*** and our standard API rate limit is 25 requests per day. Please subscribe to any of the premium plans at https://www.alphavantage.co/premium/ to instantly remove all daily rate limits.,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
WMT,2026Q1,ok,,2027Q1,2026-04,seed/library,alphavantage,9356,16,9,3,4,0,100.0,58,0.216,4,0,1,pass,162,31,1,0,2,auto,0,none,none,True,many_unclaimed_figures; no_segment_map
