symbol,season,status,detail,fiscal_label,period_end,fiscal_calendar,source,words,facts,high,medium,low,unverified,verified_pct,unclaimed_figures,claimed_share,conflicts,checks_failed,checks_warn,period_check,signals,selected,trajectory_rows,snapshot_checks_failed,snapshot_checks_warn,registry,unmapped_segments,gold_facts,gold_snapshot,db_eligible,attention
IBM,2024Q1,ok,,2024Q1,2024-03,verified,cache,8637,35,29,2,4,0,100.0,47,0.427,3,0,1,pass,251,110,5,0,1,curated,0,pass,pass,True,
CPRT,2026Q1,ok,,2026Q3,2026-04,verified,cache,5043,18,10,2,6,0,100.0,42,0.3,6,0,1,pass,77,45,0,0,2,curated,1,fail,fail,False,many_unclaimed_figures; gold_fail
AMD,2026Q2,ok,,2026Q2,2026-06,verified,cache,8540,45,34,11,0,0,100.0,37,0.549,0,0,1,pass,178,77,6,0,0,curated,0,pass,pass,True,
HESM,2026Q2,ok,,2026Q2,2026-06,seed/library,cache,2755,18,11,5,2,0,100.0,15,0.545,2,0,1,pass,42,36,1,0,2,curated,3,fail,fail,False,gold_fail
VICI,2026Q2,ok,,2026Q2,2026-06,seed/library,cache,6688,1,1,0,0,0,100.0,20,0.048,0,0,0,pass,81,61,0,0,0,curated,0,fail,fail,False,few_facts; many_unclaimed_figures; gold_fail
